Date,Open,High,Low,Close,Adj Close,Volume
2012-01-31,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-29,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,33.01555588888888,33.86888888888889,31.05777822222222,31.869999888888888,31.836221333333338,139057022.2222222
2012-06-30,29.53714276190476,30.232381095238093,28.893333333333334,29.5404760952381,29.509166380952383,31805261.904761903
2012-07-31,29.143333428571427,29.598095428571426,28.437618857142855,28.879999714285717,28.849390285714282,24770938.095238097
2012-08-31,20.28739130434783,20.644782739130434,19.768695652173914,20.108260782608696,20.086947956521737,50084560.86956522
2012-09-30,20.62947357894737,21.089473842105264,20.170526368421054,20.62789489473684,20.606031631578947,55718089.473684214
2012-10-31,20.822380904761904,21.079523523809524,20.392380666666668,20.61952380952381,20.597669142857143,52425633.333333336
2012-11-30,22.601428619047617,23.271428904761905,22.240476047619048,22.886190476190478,22.861933809523812,72737628.57142857
2012-12-31,27.201999949999998,27.67399985,26.684000150000003,27.13149985,27.1027434,59591610.0
2013-01-31,30.18761904761905,30.831428333333335,29.769999904761903,30.331904761904763,30.299756476190478,79802461.90476191
2013-02-28,28.26315810526316,28.59894705263158,27.73210531578947,28.087894631578944,28.05812463157895,50402094.7368421
2013-03-31,26.880500050000002,27.248499950000003,26.452999799999997,26.8064999,26.7780878,36359025.0
2013-04-30,26.58863631818182,27.01818186363636,26.218636500000002,26.608181772727274,26.579980045454544,33568600.0
2013-05-31,26.351363454545456,26.632727227272724,25.914545545454544,26.14318159090909,26.115472727272728,44640672.72727273
2013-06-30,23.982499999999998,24.298500100000002,23.65599995,23.94399995,23.918622,39416575.0
2013-07-31,27.72818177272727,28.218181909090905,27.389999954545456,27.91136336363636,27.881780545454546,65364413.63636363
2013-08-31,38.70045486363636,39.284999954545455,38.23590877272727,38.74818190909091,38.70711304545455,61136095.45454545
2013-09-30,45.5384996,46.3139995,44.902000349999994,45.762,45.7134974,79154190.0
2013-10-31,50.67347860869565,51.513478434782606,49.71087004347826,50.51173891304348,50.458202,88375434.7826087
2013-11-30,47.57550035,48.42499985,46.6484998,47.37850025,47.32828405,67865595.0
2013-12-31,52.28476190476191,53.17095271428572,51.57523804761905,52.57047623809523,52.51475666666666,72263485.71428572
2014-01-31,56.96095219047619,57.84857123809523,55.997142619047615,56.92809495238095,56.86775695238095,61653085.71428572
2014-02-28,66.12105284210526,67.2168422631579,65.23421068421052,66.37052552631579,66.30017968421053,58461794.7368421
2014-03-31,67.72761895238095,68.41523804761904,66.12571504761905,67.09333319047619,67.02222133333333,59782857.14285714
2014-04-30,59.9700000952381,61.03619042857142,58.25904776190476,59.60666666666667,59.54349047619047,89712623.8095238
2014-05-31,60.003332904761905,60.99095247619047,59.20380961904762,60.087142904761905,60.02345704761905,53340738.0952381
2014-06-30,64.65857109523809,65.46047609523809,64.03380938095238,64.84666657142857,64.77793704761905,41113800.0
2014-07-31,69.07545440909091,69.84909013636364,68.15545536363636,69.03090931818181,68.95774422727273,46743863.63636363
2014-08-31,73.84333295238096,74.46523823809524,73.37857238095238,73.96904723809523,73.89064823809524,28131600.0
2014-09-30,76.97857042857143,77.96523785714287,76.23428557142857,77.275715,77.193811,34333133.333333336
